partner,source_sheet,section,entity,metric,student_group,school_year,value,notes
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Students Enrolled in Preschool,,2020-21,31,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Students Enrolled in Preschool,,2021-22,30,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Students Enrolled in Preschool,,2022-23,31,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Students Enrolled in Preschool,,2023-24,32,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Students Enrolled in Preschool,,2024-25,31,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Students Enrolled in Preschool,,2016-17,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Students Enrolled in Preschool,,2017-18,477,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Students Enrolled in Preschool,,2018-19,319,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Students Enrolled in Preschool,,2019-20,424,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Students Enrolled in Preschool,,2020-21,341,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Students Enrolled in Preschool,,2021-22,400,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Students Enrolled in Preschool,,2022-23,422,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Students Enrolled in Preschool,,2023-24,434,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Students Enrolled in Preschool,,2024-25,438,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Students Enrolled in Preschool,,2016-17,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Students Enrolled in Preschool,,2017-18,21428,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Students Enrolled in Preschool,,2018-19,21897,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Students Enrolled in Preschool,,2019-20,22514,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Students Enrolled in Preschool,,2020-21,18183,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Students Enrolled in Preschool,,2021-22,21466,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Students Enrolled in Preschool,,2022-23,22661,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Students Enrolled in Preschool,,2023-24,23779,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Students Enrolled in Preschool,,2024-25,23757,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Kindergarten Student Enrollment,Kindergarten Student Enrollment,,2017-18,134,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Kindergarten Student Enrollment,Kindergarten Student Enrollment,,2018-19,113,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Kindergarten Student Enrollment,Kindergarten Student Enrollment,,2019-20,141,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Kindergarten Student Enrollment,Kindergarten Student Enrollment,,2020-21,121,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Kindergarten Student Enrollment,Kindergarten Student Enrollment,,2021-22,114,
