partner,source_sheet,section,entity,metric,student_group,school_year,value,notes,record_type,student_count,category,location,period,circulation,program_attendance,visitation,enrollment_count,books_read,met_minimum,books_distributed
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Did Not Meet Grade 3 Benchmark,2021-22,0.251,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Did Not Meet Grade 3 Benchmark,2022-23,0.226,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Did Not Meet Grade 3 Benchmark,2023-24,0.197,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Did Not Meet Grade 3 Benchmark,2024-25,0.206,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Test Participation,Reading Grades 3-8,2016-17,--,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Test Participation,Reading Grades 3-8,2017-18,>95%,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Test Participation,Reading Grades 3-8,2018-19,>95%,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Test Participation,Reading Grades 3-8,2019-20,--,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Test Participation,Reading Grades 3-8,2020-21,--,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Test Participation,Reading Grades 3-8,2021-22,>95%,,reading_assessment,,,,,,,,,,,
